product,spec,La Lunar成本,VistaPrint,PrintToucan,4Over,OvernightPrints,StickerMule,建议售价,利润率,备注
"Yard Signs Coroplast","18x24 in single-sided x 1","CA$9.50","Yard signs sold via configurator (exact public tier varies by stake/options)","Yard signs available; exact tier via calculator","Trade login required (no public pricing)","N/A / not a standard public product","N/A","CA$24.00","60.4%",""
"Yard Signs Coroplast","18x24 in single-sided x 5","CA$38.00","Yard signs sold via configurator (exact public tier varies by stake/options)","Yard signs available; exact tier via calculator","Trade login required (no public pricing)","N/A / not a standard public product","N/A","CA$85.00","55.3%",""
"Yard Signs Coroplast","18x24 in single-sided x 10","CA$72.00","Yard signs sold via configurator (exact public tier varies by stake/options)","Yard signs available; exact tier via calculator","Trade login required (no public pricing)","N/A / not a standard public product","N/A","CA$149.00","51.7%",""
"Yard Signs Coroplast","18x24 in single-sided x 25","CA$162.00","Yard signs sold via configurator (exact public tier varies by stake/options)","Yard signs available; exact tier via calculator","Trade login required (no public pricing)","N/A / not a standard public product","N/A","CA$299.00","45.8%",""
"Yard Signs Coroplast","24x36 in double-sided x 1","CA$22.00","Configurator (double-sided large sign exact tier not publicly shown)","Calculator / quote","Trade login required (no public pricing)","N/A","N/A","CA$49.00","55.1%",""
"Yard Signs Coroplast","24x36 in double-sided x 10","CA$168.00","Configurator (double-sided large sign exact tier not publicly shown)","Calculator / quote","Trade login required (no public pricing)","N/A","N/A","CA$329.00","48.9%",""
"Foam Board","24x36 in x 1","CA$18.00","Foam board style signs via signage configurator (no exact public match)","Sign boards via calculator / exact match may vary","Trade login required (no public pricing)","N/A","N/A","CA$45.00","60.0%",""
"Vinyl Banner 13oz","3x6 ft x 1","CA$44.00","Banners via configurator (exact 3x6 / finishing affects price)","Vinyl banners from CA$70.97 (base config; exact 3x6 varies)","Trade login required (no public pricing)","Overnight Prints banners from CA$49.38 (base config; exact size varies)","N/A","CA$99.00","55.6%",""
"Vinyl Banner 13oz","4x8 ft x 1","CA$73.00","Banners via configurator (exact 4x8 public quote not fixed)","Vinyl banners from CA$70.97 (base config)","Trade login required (no public pricing)","Overnight Prints banners from CA$49.38 (base config)","N/A","CA$149.00","51.0%",""
"Retractable Banner + Stand","33x80 in x 1","CA$82.00","Retractable banners via configurator (public starting price not consistently shown)","Retractable banner stands from CA$177.90","Trade login required (no public pricing)","Retractable banners from CA$161.53","N/A","CA$159.00","48.4%","Premium local same-city service can justify price near PrintToucan/Overnight while offering faster pickup."
"Mesh Banner","4x8 ft x 1","CA$68.00","Mesh banner options limited / exact match not public","Mesh banners from CA$177.61 (base config)","Trade login required (no public pricing)","No clear public mesh banner page found","N/A","CA$139.00","51.1%",""
"Business Cards 14pt","250","CA$9.00","Standard business cards start at CA$17.99 (100 cards base config)","No direct business cards public product found","Trade login required (no public pricing)","Business cards from CA$7.04 (base config)","N/A","CA$24.00","62.5%",""
"Business Cards 14pt","500","CA$13.00","Standard business cards start at CA$17.99 (100 cards base config)","No direct business cards public product found","Trade login required (no public pricing)","Business cards from CA$7.04 (base config)","N/A","CA$34.00","61.8%",""
"Business Cards 14pt","1000","CA$22.00","Standard business cards start at CA$17.99 (100 cards base config)","No direct business cards public product found","Trade login required (no public pricing)","Business cards from CA$7.04 (base config)","N/A","CA$49.00","55.1%",""
"Flyers 100lb 8.5x11 double-sided","100","CA$28.00","Standard flyers start at CA$26.99 (base config)","No direct business flyers public product found","Trade login required (no public pricing)","Flyers from CA$10.66 (base config)","N/A","CA$59.00","52.5%",""
"Flyers 100lb 8.5x11 double-sided","250","CA$42.00","Standard flyers start at CA$26.99 (base config)","No direct business flyers public product found","Trade login required (no public pricing)","Flyers from CA$10.66 (base config)","N/A","CA$89.00","52.8%",""
"Flyers 100lb 8.5x11 double-sided","500","CA$68.00","Standard flyers start at CA$26.99 (base config)","No direct business flyers public product found","Trade login required (no public pricing)","Flyers from CA$10.66 (base config)","N/A","CA$129.00","47.3%",""
"Postcards 14pt 4x6 double-sided","100","CA$22.00","Postcards via configurator (exact public tier varies)","No direct postcard public product found","Trade login required (no public pricing)","Postcards from CA$14.65 (base config)","N/A","CA$49.00","55.1%",""
"Postcards 14pt 4x6 double-sided","250","CA$35.00","Postcards via configurator (exact public tier varies)","No direct postcard public product found","Trade login required (no public pricing)","Postcards from CA$14.65 (base config)","N/A","CA$79.00","55.7%",""
"Postcards 14pt 4x6 double-sided","500","CA$55.00","Postcards via configurator (exact public tier varies)","No direct postcard public product found","Trade login required (no public pricing)","Postcards from CA$14.65 (base config)","N/A","CA$109.00","49.5%",""
"Brochures Tri-fold 100lb","100","CA$36.00","Tri-fold brochures via configurator (exact public tier not fixed)","No direct brochure public product found","Trade login required (no public pricing)","Brochures from CA$44.11 (base config)","N/A","CA$79.00","54.4%",""
"Brochures Tri-fold 100lb","250","CA$62.00","Tri-fold brochures via configurator (exact public tier not fixed)","No direct brochure public product found","Trade login required (no public pricing)","Brochures from CA$44.11 (base config)","N/A","CA$129.00","51.9%",""
"Door Hangers","250","CA$70.00","Door hangers via configurator","No direct door hanger public product found","Trade login required (no public pricing)","Door hangers from CA$65.33 (base config)","N/A","CA$149.00","53.0%",""
"Door Hangers","500","CA$115.00","Door hangers via configurator","No direct door hanger public product found","Trade login required (no public pricing)","Door hangers from CA$65.33 (base config)","N/A","CA$229.00","49.8%",""
"Canvas Gallery Wrap","16x20 in x 1","CA$42.00","Canvas prints via photo/canvas configurator (exact tier varies)","Canvas prints product page available; exact size price via options","Trade login required (no public pricing)","Canvas prints from CA$65.76 (base config)","N/A","CA$109.00","61.5%",""
"Canvas Gallery Wrap","24x36 in x 1","CA$92.00","Canvas prints via configurator","Canvas prints page (size-based pricing via options)","Trade login required (no public pricing)","Canvas prints from CA$65.76 (base size; 24x36 higher)","N/A","CA$229.00","59.8%",""
"Feather Flag + Pole + Cross Base","10 ft x 1","CA$108.00","Flags via event display catalog (public exact tier varies)","PrintToucan feather flags from CA$195.87","Trade login required (no public pricing)","N/A","N/A","CA$219.00","50.7%","Outsourced: supplier cost approx CA$96.00 -> landed cost CA$108.00 -> suggested CA$219.00; check shipping before final quote."
"Feather Flag + Pole + Cross Base","13 ft x 1","CA$132.00","Flags via event display catalog (public exact tier varies)","PrintToucan feather flags from CA$195.87","Trade login required (no public pricing)","N/A","N/A","CA$269.00","50.9%","Outsourced: supplier cost approx CA$120.00 -> landed cost CA$132.00 -> suggested CA$269.00; check shipping before final quote."
"Teardrop Flag + Pole + Cross Base","8 ft x 1","CA$104.00","Flags via event display catalog (public exact tier varies)","PrintToucan teardrop flags from CA$195.87","Trade login required (no public pricing)","N/A","N/A","CA$209.00","50.2%","Outsourced: supplier cost approx CA$92.00 -> landed cost CA$104.00 -> suggested CA$209.00; check shipping before final quote."
"Teardrop Flag + Pole + Cross Base","11 ft x 1","CA$126.00","Flags via event display catalog (public exact tier varies)","PrintToucan teardrop flags from CA$195.87","Trade login required (no public pricing)","N/A","N/A","CA$259.00","51.4%","Outsourced: supplier cost approx CA$114.00 -> landed cost CA$126.00 -> suggested CA$259.00; check shipping before final quote."
"Table Cover 6ft 4-sided","x 1","CA$126.00","Table covers via trade show displays configurator","PrintToucan fitted table covers from CA$128.26","Trade login required (no public pricing)","N/A","N/A","CA$259.00","51.4%","Outsourced: supplier cost approx CA$112.00 -> landed cost CA$126.00 -> suggested CA$259.00; verify print area and fabric type."
"Table Cover 8ft 4-sided","x 1","CA$142.00","Table covers via trade show displays configurator","PrintToucan fitted table covers from CA$128.26","Trade login required (no public pricing)","N/A","N/A","CA$299.00","52.5%","Outsourced: supplier cost approx CA$128.00 -> landed cost CA$142.00 -> suggested CA$299.00; verify print area and fabric type."
